Epoch,loss,loss_D,ssim,ms_ssim,psnr,vif,mse
86,0.2959,0.8323,0.7019,0.6035,12.8125,0.0381,0.0573
87,0.2927,0.8320,0.7471,0.7011,14.6568,0.0542,0.0402
88,0.2908,0.8339,0.6782,0.7302,15.5070,0.0521,0.0346
89,0.2922,0.8354,0.6127,0.7091,15.1142,0.0471,0.0362
90,0.2909,0.8332,0.6468,0.7453,15.9102,0.0561,0.0316
91,0.3035,0.8543,0.5046,0.6299,13.9795,0.0359,0.0483
92,0.2891,0.8362,0.4461,0.7019,15.3360,0.0389,0.0344
93,0.2882,0.8370,0.5237,0.7411,15.8892,0.0435,0.0310
94,0.2885,0.8369,0.6147,0.7686,16.2023,0.0539,0.0297
95,0.2884,0.8372,0.6607,0.7724,16.4013,0.0599,0.0292
96,0.2883,0.8376,0.6686,0.7710,16.4558,0.0574,0.0283
97,0.2884,0.8384,0.7096,0.7801,16.4208,0.0633,0.0288
98,0.2882,0.8383,0.7047,0.7913,16.7428,0.0647,0.0274
99,0.2884,0.8390,0.6990,0.7952,17.0719,0.0660,0.0262
100,0.2883,0.8392,0.7360,0.8057,17.0416,0.0715,0.0266
101,0.2884,0.8393,0.7458,0.8061,16.9001,0.0723,0.0268
102,0.2883,0.8389,0.7473,0.8108,16.9582,0.0739,0.0264
103,0.2883,0.8390,0.7598,0.8137,17.1284,0.0762,0.0259
104,0.2883,0.8395,0.7607,0.8135,17.0729,0.0766,0.0257
105,0.2884,0.8393,0.7567,0.8154,17.1314,0.0746,0.0256
106,0.2881,0.8389,0.7581,0.8160,17.1372,0.0766,0.0257
107,0.2884,0.8394,0.7596,0.8053,16.8396,0.0745,0.0272
108,0.2886,0.8395,0.7561,0.7935,16.6751,0.0711,0.0276
109,0.2880,0.8389,0.7760,0.8193,17.0521,0.0794,0.0257
110,0.2883,0.8385,0.7627,0.8149,17.1143,0.0767,0.0255
111,0.2885,0.8394,0.7619,0.8116,17.0434,0.0752,0.0263
112,0.2881,0.8387,0.7755,0.8224,17.3734,0.0830,0.0247
113,0.2885,0.8390,0.7662,0.8070,17.0669,0.0776,0.0261
114,0.2884,0.8389,0.7675,0.8104,17.0431,0.0782,0.0259
115,0.2882,0.8390,0.7615,0.8020,17.0460,0.0744,0.0261
116,0.2884,0.8395,0.7696,0.8082,16.9444,0.0783,0.0264
117,0.2899,0.8407,0.7477,0.7556,15.7910,0.0626,0.0319
118,0.2895,0.8388,0.7461,0.7638,16.1610,0.0656,0.0316
119,0.2887,0.8395,0.7493,0.7927,16.5753,0.0692,0.0284
120,0.2883,0.8387,0.7413,0.8118,17.0877,0.0753,0.0256
121,0.2881,0.8387,0.7624,0.8181,17.1791,0.0799,0.0252
122,0.2885,0.8391,0.7725,0.8165,17.0743,0.0810,0.0256
123,0.2882,0.8384,0.7715,0.8089,16.8269,0.0794,0.0268
124,0.2888,0.8395,0.7705,0.8153,17.2013,0.0826,0.0261
125,0.2886,0.8398,0.7643,0.8178,17.1000,0.0833,0.0259
126,0.2881,0.8380,0.7683,0.8269,17.3843,0.0892,0.0247
127,0.2883,0.8388,0.7624,0.8196,17.1687,0.0822,0.0253
128,0.2888,0.8388,0.7574,0.8103,17.0100,0.0796,0.0262
129,0.2884,0.8391,0.7648,0.8038,16.8592,0.0798,0.0279
130,0.2890,0.8399,0.7644,0.7944,16.7972,0.0771,0.0280
131,0.2885,0.8387,0.7661,0.8104,17.0502,0.0824,0.0261
132,0.2883,0.8382,0.7642,0.8179,17.2582,0.0834,0.0256
133,0.2884,0.8391,0.7705,0.8204,17.3869,0.0856,0.0250
134,0.2881,0.8379,0.7782,0.8260,17.5523,0.0884,0.0245
135,0.2882,0.8384,0.7766,0.8229,17.5333,0.0850,0.0242
136,0.2919,0.8454,0.7689,0.7739,16.0753,0.0764,0.0329
137,0.2899,0.8383,0.7248,0.7316,15.2352,0.0574,0.0371
138,0.2895,0.8379,0.7168,0.7537,15.8533,0.0596,0.0322
139,0.2884,0.8382,0.7520,0.8114,17.0806,0.0796,0.0267
140,0.2879,0.8383,0.7519,0.8180,17.4832,0.0832,0.0242
141,0.2880,0.8383,0.7739,0.8290,17.5352,0.0901,0.0238
142,0.2881,0.8381,0.7738,0.8185,17.3129,0.0853,0.0253
143,0.2884,0.8391,0.7743,0.8091,17.1087,0.0835,0.0259
144,0.2883,0.8388,0.7778,0.8150,17.2883,0.0881,0.0262
145,0.2883,0.8383,0.7840,0.8326,17.6219,0.0947,0.0245
146,0.2887,0.8383,0.7778,0.8186,17.2389,0.0884,0.0256
147,0.2885,0.8391,0.7779,0.8214,17.2238,0.0877,0.0255
148,0.2882,0.8379,0.7849,0.8275,17.5204,0.0924,0.0247
149,0.2881,0.8382,0.7793,0.8166,17.1263,0.0860,0.0259
150,0.2887,0.8388,0.7804,0.8224,17.2733,0.0880,0.0252
151,0.2883,0.8381,0.7790,0.8238,17.3053,0.0866,0.0251
152,0.2883,0.8382,0.7818,0.8313,17.5003,0.0901,0.0243
153,0.2886,0.8390,0.7811,0.8237,17.3365,0.0883,0.0249
154,0.2900,0.8407,0.7757,0.8084,16.9613,0.0855,0.0277
155,0.2893,0.8376,0.7389,0.7941,16.8048,0.0760,0.0285
156,0.2887,0.8380,0.7558,0.8078,17.1811,0.0837,0.0264
157,0.2882,0.8380,0.7809,0.8272,17.4199,0.0942,0.0250
158,0.2939,0.8479,0.7622,0.7685,16.1904,0.0766,0.0324
159,0.2917,0.8346,0.7038,0.6920,14.8132,0.0495,0.0418
160,0.2881,0.8373,0.7062,0.7951,16.7147,0.0656,0.0273
161,0.2880,0.8376,0.7373,0.8130,17.2141,0.0828,0.0259
162,0.2880,0.8376,0.7349,0.8130,17.4062,0.0801,0.0246
163,0.2880,0.8377,0.7481,0.8208,17.4881,0.0837,0.0243
164,0.2879,0.8377,0.7618,0.8162,17.3150,0.0832,0.0249
165,0.2881,0.8384,0.7705,0.8170,17.2939,0.0858,0.0257
166,0.2892,0.8387,0.7552,0.7984,16.9475,0.0828,0.0274
167,0.2876,0.8374,0.7681,0.8231,17.3428,0.0887,0.0253
168,0.2882,0.8384,0.7688,0.8293,17.6365,0.0905,0.0237
169,0.2879,0.8378,0.7726,0.8249,17.4863,0.0863,0.0247
170,0.2923,0.8403,0.7550,0.7562,15.6988,0.0684,0.0347
171,0.2915,0.8366,0.6384,0.7587,16.2162,0.0673,0.0306
172,0.2890,0.8377,0.7314,0.7906,16.6904,0.0727,0.0283
173,0.2882,0.8377,0.7239,0.8086,17.2637,0.0771,0.0250
174,0.2881,0.8383,0.7628,0.8231,17.4929,0.0908,0.0250
175,0.2884,0.8374,0.7662,0.8241,17.3956,0.0904,0.0254
176,0.2881,0.8373,0.7781,0.8297,17.5600,0.0925,0.0240
177,0.2883,0.8383,0.7815,0.8310,17.4585,0.0907,0.0241
178,0.2881,0.8386,0.7767,0.8265,17.4573,0.0892,0.0243
179,0.2883,0.8379,0.7836,0.8279,17.4767,0.0904,0.0246
180,0.2880,0.8372,0.7854,0.8275,17.4977,0.0922,0.0246
181,0.2886,0.8385,0.7830,0.8219,17.3674,0.0899,0.0248
182,0.2894,0.8392,0.7607,0.7965,16.8933,0.0806,0.0271
183,0.2887,0.8374,0.7680,0.8136,17.1522,0.0836,0.0263
184,0.2893,0.8367,0.7671,0.8113,17.0474,0.0853,0.0267
185,0.2904,0.8380,0.7590,0.7989,16.6745,0.0780,0.0287
186,0.2885,0.8374,0.7652,0.8235,17.1984,0.0852,0.0256
187,0.2890,0.8369,0.7554,0.8194,17.2756,0.0871,0.0258
188,0.2887,0.8377,0.7750,0.8300,17.5631,0.0927,0.0244
189,0.2891,0.8381,0.7666,0.8231,17.4420,0.0922,0.0252
190,0.2893,0.8363,0.7664,0.8167,17.1754,0.0843,0.0260
191,0.2883,0.8368,0.7807,0.8291,17.5050,0.0903,0.0244
192,0.2893,0.8386,0.7852,0.8262,17.4621,0.0911,0.0248
193,0.2898,0.8381,0.7667,0.8064,16.8512,0.0809,0.0272
194,0.2881,0.8371,0.7729,0.8238,17.5338,0.0873,0.0245
195,0.2880,0.8373,0.7819,0.8282,17.5640,0.0925,0.0244
196,0.2882,0.8376,0.7794,0.8250,17.4523,0.0890,0.0245
197,0.2886,0.8387,0.7841,0.8243,17.4455,0.0902,0.0248
198,0.2883,0.8372,0.7824,0.8232,17.3860,0.0889,0.0248
199,0.2884,0.8382,0.7828,0.8252,17.4284,0.0882,0.0251
200,0.2885,0.8381,0.7825,0.8236,17.4324,0.0885,0.0247
201,0.2894,0.8375,0.7778,0.8190,17.3553,0.0868,0.0253
